排名,歌曲名称,歌手名称
1,Back N Forth,KKECHO / Wakeupp
2,CityTalk,马赫mood / 夏辰熙
3,PUBLIC ENEMY,李大奔BENZO
4,潜到海底说爱你,万妮达Vinida Weng
5,瓦解,h3R3
6,Crazy Love,王以太 / 艾热 AIR
7,DIFFERENT ANIMAL,李大奔BENZO / GALI
8,数羊,小潮院长
9,DOWN,h3R3
10,12.31,郑润泽
11,散落的对白,TC
12,周日傍晚,大宽
13,西西弗斯,王安宇 / 夏日入侵企画
14,落霞云归,玩家群像 / 慕寒 / 新倩女幽魂
15,Dandelion,邹沛沛
16,台北一夜,Vansdaddy / 华云龙KLE
17,2026,azazel / Young Cash Jason / Grave
18,落差感,雪音音 / 造梦师DreamMaker
19,Vamos（出发）,泰格西 / GLORY
20,几句是非,Vansdaddy / COOZI
21,空壳的心脏,邹沛沛
22,奇妙之心 (上海迪士尼度假区“奇妙之心”城堡秀主题曲),陈玉婷 / Shanghai Disney Resort Cast
23,伪装,skiboyvv
24,Cry for you,Seto
25,她看得见,李大奔BENZO / 斯丹曼簇
26,少年,雨哥到处跑 / 力元君 / 啊吗粽 / 徐大虾XDX / 自来卷三木 / 在下哲别
27,朦胧,skiboyvv / rubenmccarter
28,散半个三台,Vansdaddy
29,太聪明就不会幸福,鹿子野 / WHICHWAY_MUSIC
30,逃逸速度(Escape Velocity),墨绛
31,安全岛,王一菲
32,临阵脱逃Get Cold Feet,KANNA BUSH
33,你的忽冷忽热,森光 / 陆昊
34,我听见了，你的痛苦成立,供销社乐队
35,废品,费宇涛
36,乡下的老鼠,罗言
37,你好,SenGe森格 / 泰格西
38,隔梦遥,萧忆情Alex / 袁铭喆
39,夏日远去之后,塞壬唱片-MSR / 桃子假象
40,stay home club,鼠鼠鼠
41,面对面想念,姚晓棠
42,无眠商店,亚森
43,好比我乱七八糟说了很多但是你完全不知道我想说什么最后好像什么都没说一样让人摸不着头脑,小精灵 / GENIUSAID
44,蜀国物语,江上青山JasonYama
45,SPARK（星火）,初音ミク / Magens / 巡音ルカ / 鏡音リン / 鏡音レン / MEIKO / KAITO
46,王乐辉 (致敬粉丝),供销社乐队
47,给你的情歌,罗森涛
48,复杂动物 (feat.AK刘彰),于贞 / AK刘彰
49,最喜欢,By2
50,Fever Pitch,Richz
51,你俩咋谈了,OWEN欧阳子文
52,春,陈文非
53,慢进(SLOWMO),刘炫廷 / Leino
54,以岁月之名,猫头英OWL / 袁小葳
55,无常簿,鲜克
56,Romance baby,苏照钦
57,蜻蜓,火鸡
58,琵琶曲（东船与西舫）,郑浩Z-Hao / 冰洁
59,胡来,Shining安吉 / Young Cash Jason
60,呢绒梦,鸣潮先约电台 / Sawako碎花 / 沐可Linda
61,一半一半,Top Barry / INDEcompany
62,此刻请听到我们,Sunken Boat 沉舟乐队
63,喵了咪之歌,子花酱Hanako / 英雄联盟手游
64,残次品,李嘉格
65,Blue,持修 / SIRUP / ichika Nito
66,牵念涟漪,李雨霏_晚饭
67,不想长大的人,罗森涛
68,心动港湾,陈壹千
69,在一万个梦境中醒来,凌晨一点的莱茵猫
70,1984黑糖啵啵 (Brown Sugar Boba),WuLinG捕鱼人
71,BLOCK BY BLOCK （巅峰）,安林瑶ROBIN
72,秋风把爱吹回人海,庚野
73,熱血無用,指人儿
74,Gimesign,MollyRack / 黄格雷 / azazel
75,海盐雾夏(Inst.),胧
76,远方漂泊,陈锡伟
77,最后一首歌,邓加宇
78,她只是看着我,诺比尼奥NobbyNeo
79,After The Noise,何克林
80,马祥瑞,春风招待所
81,那片海的颜色,NaNaOv0
82,挖呀挖,邹序
83,想到我(Think Of Me),宝宝流行明星 / GOATJOJO
84,URD Angel,jeen / Jei Cyclist
85,WITNESS,奏Sou / 歌爱ユキ
86,古老的家庭,冬子
87,总怨,芙丝
88,奇异鸟,漕槽
89,摆烂之王,翎人祭酒
90,坏人,李学仕
91,错在遇见,ERII J绘梨姜 / Rarbby_^
92,I.N.S.B.(白天不亮remix),popogo / 白天不亮
93,永远 TILL DEATH (prod.SHOKO!),SHOKO!
94,半步之遥,Joni-JN
95,我们的爱,TopAceOne / CDBoi / Roz1
96,See me again(我不再）,21世紀音樂救星
97,我们,歡慶
98,Stick To It,WARM HOUSE.
99,装,蜥蜴lizard
100,从这里去往一方,尔奇Archie
