排名,歌曲名称,歌手名称
1,12.31,郑润泽
2,Near You,小表哥 / 暗号
3,小半 (Live版),谭松韵 / 王铮亮
4,My house,Top Barry / INDEcompany
5,借过一下 (Live),陈小春
6,我好想你·一 一 (Live),王菀之
7,迷人的危险(Live),Ghost (王琳凯) / 姚晓棠
8,洛阳纸,许嵩
9,AOE Pt.2,DD Ma Shawty / BOBBYNOPEACE / LusciousBB
10,台北一夜,Vansdaddy / 华云龙KLE
11,潜到海底说爱你,万妮达Vinida Weng
12,试运行,陈粒
13,Illusion (Deep House),冰冷7
14,hate that i made you love me,Ariana Grande
15,"Approve Please, Genie!",TRAP CHICK / 重音テト / 音街ウナ
16,哪怕,山药大王 / Kis / 造梦师DreamMaker
17,锁 (Live版),张靓颖 / 曾舜晞
18,瓦解,h3R3
19,单元楼（Casa Mia）,泰格西
20,巴拉莱卡 (The Rod )(Live版),张靓颖 / 陈楚生
21,前程似锦,许嵩
22,知觉,Max李玄 / Mikey-18
23,ヤラララ' (feat.重音テト)(呀啦啦啦),かれたよつば
24,粗糙,许嵩
25,梦哑,任然
26,颜值博主,李大奔BENZO / 华云龙KLE
27,一个人想着一个人 (Live版),姚晓棠 / 王栎鑫
28,小鳥,延续痛
29,Crazy Love,王以太 / 艾热 AIR
30,曾经,丁禹兮
31,怎么说我不爱你 (Live),曾沛慈 / Trang Pháp
32,好想谈恋爱 (Live),单依纯
33,我听见了，你的痛苦成立,供销社乐队
34,Serpent,小表哥 / 暗号
35,"I Knew It, I Knew You",Taylor Swift
36,臭显摆:Bloody Show Off,Capper / 周震南
37,同花顺 (Live),宋亚轩
38,Simon (live),侯明昊
39,一样的月光 (Live),曾沛慈
40,借过一下 (live),胡彦斌 / Jony J
41,地头蛇:Flexing Lokal,Capper / 周震南
42,stupid song,Olivia Rodrigo
43,DREAM MAGIC,MKMS
44,壁上观 (live),张远
45,DOWN,h3R3
46,精神创伤,残像音阶
47,迟迟 (Live版),薛之谦
48,Alive,王嘉尔 / 五月天 阿信
49,酒鬼的歌,普阿山 / MoonJellies
50,爱河 (Live版),杨丞琳 / 王铮亮
51,阿普挫仑:Pain killer,Capper / 周震南
52,如烟-Live,周深 / 五月天
53,匿名的好友 (Live版),杨丞琳 / 黄子弘凡
54,红线,h3R3
55,"I Knew It, I Knew You",Taylor Swift
56,无风带,陈卓璇 / 艾热 AIR
57,森林收音机,在虚无中永存
58,心太软 (live),胡彦斌
59,Brand New Sky (新世界的天空),鸣潮先约电台 / 飞行雪绒
60,HOW MANY DISTRICTS ARE THERE IN HONG KONG,漂移的人（Drifting Man）
61,小众女孩,Zzh
62,4 Flowers,MAMAMOO
63,FUNK NA MIRA teto重音 (Slap House),XiRXG
64,可能念旧的人都该死,Thief69
65,honeybee,Olivia Rodrigo
66,Catch Catch (Chinese Ver.),YENA (崔叡娜)
67,一个人,黄丽玲
68,散落的对白,TC
69,SINOS DE NATAL kill（Slap House）,HiLXG / YaKio
70,奢品先生:Sir Luxury,Capper / 周震南
71,乡下的老鼠,罗言
72,隔岸,祺夜 / 灰蒙蒙
73,Stay Alive ～Regain～,高橋李依
74,冰糖爪:Diamond Ungues,Capper / 周震南
75,DIFFERENT ANIMAL,李大奔BENZO / GALI
76,暮日流浪:Twilight Drifters,Capper / 周震南
77,上蔡无量寺,贊詩
78,Reno My Way,宋雨琦
79,乌龙茶,AY楊佬叁
80,DROP DAY (发行日),李大奔BENZO
81,雨过后的风景 (Live版),Dizzy Dizzo (蔡诗芸) / 陈立农
82,烏 - Raven,米津玄師
83,TA KI TA KI,Alive
84,PUBLIC ENEMY,李大奔BENZO
85,顺其自然 (让花是花 让树是树),国产阿发
86,Dear D (亲爱的告诉你)(Live版),黄子弘凡 / 谭松韵
87,旧火重燃,铁痕电台-MSR / Alec Justice / Keep Close / Chapters
88,Repeat It (Acoustic Version),Martin Garrix / Ed Sheeran
89,寡（一个孤独患者的自述）,一颗狼星
90,橄榄树 (Live),单依纯
91,刻在我心底的名字,何昶希 / 何衍朝
92,はやくにげなきゃ,佐藤 ちなみに
93,要,花粥
94,同和,队长
95,表白（电音remix版）,Lunak
96,是你没选我啊(Live),张新成 / 吉娜·爱丽丝
97,几句是非,Vansdaddy / COOZI
98,你俩咋谈了,OWEN欧阳子文
99,WILD WILD WESTLAKE (野望),李大奔BENZO / Vinz-T
100,NICELY,李大奔BENZO
