排名,歌曲名称,歌手名称
1,小半 (Live版),谭松韵 / 王铮亮
2,借过一下 (Live),陈小春
3,在意识里过一生,张婉清
4,Can We Just Do This,NAVE
5,Bella,泰格西 / 13FlowMic / cLoner23
6,Sinos De Natal,MGD / MXZHPHXNK
7,普通人生,海洋Bo
8,This Place Is a Shelter,Ólafur Arnalds
9,Near You,小表哥 / 暗号
10,梦哑,任然
11,怎么说我不爱你 (Live),曾沛慈 / Trang Pháp
12,锁 (Live版),张靓颖 / 曾舜晞
13,迟到的真心,温和的反骨
14,曾经,丁禹兮
15,想念（Rehearsal Version）,梁博
16,乌龙茶,AY楊佬叁
17,FUNK NA MIRA teto重音 (Slap House),XiRXG
18,顺其自然 (让花是花 让树是树),国产阿发
19,山丘,李宗盛
20,Баллада (Лезгинка),Xcho / МОТ
21,抽离,徐良 / 刘丹萌
22,一个像夏天一个像秋天,范玮琪
23,一个人想着一个人 (Live版),姚晓棠 / 王栎鑫
24,少女心事,于贞 / 刘恋
25,流泪眼望流泪眼,容祖儿
26,砰砰心动(Boom Boom Heart),Ulaa（尤拉）
27,同花顺 (Live),宋亚轩
28,我好想你·一 一 (Live),王菀之
29,Stay Alive ～Regain～,高橋李依
30,答案,杨坤 / 郭采洁
31,Back N Forth,KKECHO / Wakeupp
32,Stan,Eminem / Dido
33,壁上观 (live),张远
34,普通朋友,陶喆
35,宿敌,顾砚舟i
36,Brand New Sky (新世界的天空),鸣潮先约电台 / 飞行雪绒
37,中环至半山,刘莉旻 / 励志豪
38,갑자기,I.O.I
39,鲜花,回春丹
40,我听见了，你的痛苦成立,供销社乐队
41,POLSKA JUMPSTYLE,Mr. Polska / Natte Visstick / Vieze Asbak
42,我在意,谭咏麟
43,曾经的你,许巍
44,单元楼（Casa Mia）,泰格西
45,girls,The Kid LAROI
46,匿名的好友 (Live版),杨丞琳 / 黄子弘凡
47,雨过后的风景 (Live版),Dizzy Dizzo (蔡诗芸) / 陈立农
48,Simon (Live),周菲戈
49,爱人啊！,庾澄庆
50,ball w/o you,21 Savage
51,追晚风的人,徐薇
52,洛阳纸,许嵩
53,我恨明月不照我,阿YueYue
54,梦一场,那英
55,Simon,丁世光
56,GMC,王赫野
57,江声入旧年,聲無哀樂SWAL / 龚琳娜 / 杨宗勋
58,圆 (Explicit),gtr7
59,陷入你的怀抱,AY楊佬叁
60,她,不可撤销乐队
61,茶底世界,丢火车
62,I Want Things To Be Beautiful,Devi McCallion
63,He Just Left,SCARECROW
64,独家记忆 (Live),王濛 / 陈凯琳
65,你的眼神,蔡琴
66,Dilemma,Nelly / Kelly Rowland
67,赤胆少年心,藏风美少年
68,反诈蛋之歌,蛋仔派对
69,月白露,FirefoxL / 音乐合伙人
70,干杯,五月天
71,心太软 (live),胡彦斌
72,有没有一个人,八大猩人
73,空旷回响,树离suliii_
74,Catch Catch (Chinese Ver.),YENA (崔叡娜)
75,Better not love,L4NE / 阿海
76,两杯茶,刘美君
77,切歌,PIggy
78,放生,范逸臣
79,"I Knew It, I Knew You",Taylor Swift
80,不药而愈,郭静
81,你的微笑,F.I.R.
82,Hold me tonight（拥我入怀）,空频信号
83,右手边,杜宣达
84,If You Feel My Love,Blaxy Girls
85,记忆是慢性的毒,Badynow
86,迁徙,泰格西 / 黄之仪Kyra Zilver
87,雾岛的猫,张巍 (James)
88,一笔满意,洪嘉豪
89,All You Need Is Love (Remastered 2009),The Beatles
90,黄昏,赵十三
91,上蔡无量寺,贊詩
92,他的猫,徐良 / 杨曦
93,快乐着疲惫（Happy-Tired),DEN
94,一直很安静 (Live),孙怡 / 陈瑶
95,坏雨季,鸟森 / 野生三十
96,GIRLS,The Kid LAROI
97,这样爱了,张婧
98,有人喜欢（你有多久都没有看到过蓝天）,橘猫烧鲷鱼
99,Dandelion,邹沛沛
100,无人之岛（Live）,邓岳章
