排名,歌曲名称,歌手名称
1,海屿你,马也_Crabbit
2,玻璃,Gareth.T
3,于是,郑润泽
4,Баллада,Xcho/МОТ
5,Angel,尹美莱/Tiger JK/비지 (Bizzy)
6,12.31,郑润泽
7,恋人,李荣浩
8,雨过后的风景,Dizzy Dizzo (蔡诗芸)
9,失眠,Suki刘舒妤
10,如果呢,郑润泽
11,颜色,Gareth.T
12,一半一半,Top Barry/INDEcompany
13,罗生门（Follow）,梨冻紧/Wiz_H张子豪
14,静音恋人 (两颗缠绕的心),礼越
15,两 难,加木
16,小半,陈粒
17,NIGHT DANCER,imase
18,还是会想你,林达浪/h3R3
19,阴天,莫文蔚
20,左转灯 (1000 Times +1),派伟俊/mac ova seas
21,嗜好,颜人中
22,我怀念的,孙燕姿
23,遐想,郑润泽
24,唯一,G.E.M.邓紫棋
25,忘不掉的你,h3R3
26,碎碎念,队长
27,雨爱,杨丞琳
28,Fever Pitch,Richz
29,我只能离开,颜人中
30,把回忆拼好给你,王贰浪
31,晚安,颜人中
32,苦茶子,Starling8/DRODUMANA/FIVESTAR
33,Star Crossing Night (feat. GALI),徐明浩/GALI
34,特别的人,方大同
35,爱情讯息,郭静
36,出现又离开 (Live),梁博
37,后来的我们,五月天
38,Always Online,林俊杰
39,小胡同,郑润泽
40,红,罗言
41,愿与愁,林俊杰
42,有些,颜人中
43,离开我的依赖,王艳薇
44,予你,队长
45,熄灭,TC
46,再等冬天(Memories),h3R3
47,去北极忘记你,Gareth.T
48,心似烟火,陈壹千
49,你要的全拿走,胡彦斌
50,Dear D (亲爱的告诉你),项睿娴
51,夏夜最后的烟火,颜人中
52,知我,国风堂/哦漏
53,浆果,TINY7
54,你,郑润泽
55,最佳损友,陈奕迅
56,枪火,宝石Gem
57,红色高跟鞋,蔡健雅
58,其实,薛之谦
59,零距离的思念,TINY7
60,到时说爱我,茜拉
61,我本将心向明月,王朝1982/朱旭BooBoo
62,如果爱忘了 (live),汪苏泷/单依纯
63,一样的月光,徐佳莹
64,富士山下,陈奕迅
65,time machine (feat. aren park),mj apanay/aren park
66,幻痛药 Hurt And Hurt Ft.LSGCsikoriot四口,Tlatre特雷西/LSGCsikoriot
67,开始懂了,孙燕姿
68,麦恩莉,方大同
69,锈 (我们两个都拉过勾),江辰
70,有我呢,郭一凡
71,演员,薛之谦
72,寂寞寂寞不好,曹格
73,孤独Person,Herme4/WhyAce/Zy
74,阳光下的星星,金海心
75,盛夏的果实,莫文蔚
76,太聪明,陈绮贞
77,素颜,许嵩/何曼婷
78,失眠了,吴琳珂Moske
79,如果可以,韦礼安
80,我爱你但是我要回家,ET/Happer/无面小生/口古口古
81,Radio (Dum-Dum),宋雨琦
82,会呼吸的痛,梁静茹
83,虚拟,陈粒
84,坏女孩,徐良/小凌
85,我想念,汪苏泷
86,情歌,梁静茹
87,小孩,罗森涛
88,可不可以,张紫豪
89,Beauty And A Beat,Justin Bieber/Nicki Minaj
90,该怎么办,TC
91,第三人称,冯沁苑(买辣椒也用券)
92,沦陷,JuggShots贾格
93,迷人的危险,Dance Flow
94,坠落,蔡健雅
95,我不难过,孙燕姿
96,沉溺 (你让我的心不再结冰）,邹沛沛/Pank
97,My love,颜人中
98,与我无关,阿冗
99,我记得,赵雷
100,Near You,小表哥/暗号
101,和你,余佳运
102,曾经是情侣 (Live),梁博
103,多远都要在一起,G.E.M.邓紫棋
104,是我不够好,李毓芬
105,幻听,许嵩
106,一程山路,毛不易
107,小半 (Live版),谭松韵/王铮亮
108,不将就,李荣浩
109,西厢寻他,伯爵Johnny/唐伯虎Annie
110,句号,G.E.M.邓紫棋
111,哪里都是你,队长
112,最后一页,江语晨
113,Letting Go,蔡健雅
114,那些你很冒险的梦,林俊杰
115,诀别书,邓垚
116,爱我还是他,陶喆
117,天外来物,薛之谦
118,想你和我们的以后,苏运莹
119,The Way I Still Love You,Reynard Silva
120,孤独患者,陈奕迅
121,拉过勾的,陆虎
122,读心术,卓文萱
123,沉沦与遐想,C.HØPE
124,别怕变老,王以太/艾热 AIR
125,那时雨,徐良
126,他只是经过,h3R3/高旭
127,一个人想着一个人,曾沛慈
128,普通女孩,沙一汀EL
129,遇上你之前的我,Gareth.T
130,我知道,By2
131,猜不透,丁当
132,同花顺,林倛玉
133,Sinos De Natal,MGD/MXZHPHXNK
134,才二十三,方大同
135,指纹,杜宣达
136,江南,林俊杰
137,病态的爱,Zkaaai/哈利白特
138,悬溺,葛东琪
139,精卫,30年前，50年后
140,孤雏,AGA
141,下一个天亮,郭静
142,茫,李润祺
143,借过一下 (Live),陈小春
144,偏爱,张芸京
145,Come Back To Me,宇多田ヒカル
146,起风了,冯沁苑(买辣椒也用券)
147,喜欢,阿肆
148,牵丝戏,银临/Aki阿杰
149,勇气,梁静茹
150,Forget it （feat. Mac Ova Seas）,SETI/mac ova seas
151,无名的人,毛不易
152,水星记,郭顶
153,在你的身边,盛哲
154,淘汰,陈奕迅
155,想你的夜,关喆
156,反乌托邦,Ciyo/见过夏天P/乌托邦P
157,不说 (原来是不说),周公
158,世界上的另一个我,阿肆/郭采洁
159,我好想你·一 一 (Live),王菀之
160,唯一,告五人
161,普通朋友,陶喆
162,主角,王菲
163,Lonely,Nana
164,至少还有你,林忆莲
165,爱你但说不出口,Karencici
166,春,陈文非
167,走走,李荣浩
168,Marry,Top Barry/INDEcompany
169,半壶纱,刘珂矣
170,野心家,张靓颖
171,怎么说我不爱你,萧敬腾
172,遗失的心跳,萧亚轩
173,带我走,杨丞琳
174,表态 (Live),梁博
175,Una Mattina,Papa Tin
176,My house,Top Barry/INDEcompany
177,我愿,阿虾
178,戒烟,李荣浩
179,可我在十六岁遇到了你,First—Top
180,这叫爱,By2
181,鲜花 (Live),回春丹
182,新地球,林俊杰
183,紫荆花盛开,李荣浩/梁咏琪
184,再次爱上你,金润吉
185,Call You Tonight,Whitney Houston
186,认真的雪,薛之谦
187,Creepin' up on You,Darren Hayes
188,鲜花,回春丹
189,失落沙洲,徐佳莹
190,可惜没如果,林俊杰
191,命运,家家
192,Leave Me Alone（寂寞作伴）,TC
193,We Don't Talk Anymore (Mr. Collipark Remix),Charlie Puth/Selena Gomez/Mr. Collipark
194,11,队长/黄礼格
195,雨天,孙燕姿
196,IF YOU,BIGBANG
197,刻在我心底的名字,卢广仲
198,一人行,曾舜晞
199,给你呀（又名：for ya）,蒋小呢
200,还是分开,张叶蕾
